0,10,18,32,44,60
0,8,18,32,44,60
0,12,20,34,44,60
0,14,26,36,44,60
0,16,28,42,50,60
0,12,28,42,50,60
0,12,26,42,50,60
0,14,26,42,50,60
0,8,20,36,50,60
0,16,28,36,50,60
0,8,24,38,50,60
0,14,22,34,50,60
0,12,20,34,50,60
0,8,18,32,48,60
0,10,18,32,48,60
0,14,22,32,48,60
0,8,22,32,48,60
0,10,26,40,48,60
0,16,26,40,48,60
0,10,18,34,48,60
0,8,20,36,46,60
0,16,28,36,46,60
0,12,28,38,46,60
0,10,26,38,46,60
0,10,18,34,46,60
0,16,24,34,46,60
0,10,24,40,52,60
0,14,24,40,52,60
0,12,28,42,52,60
0,16,28,42,52,60
0,10,22,36,52,60
0,12,28,38,52,60
